종목코드,기준일,최고가일,최고수익률
007860,2020.01.02,2020.02.14,53
200880,2020.01.02,2020.02.17,1
006980,2020.01.02,2020.01.28,8
016880,2020.01.02,2020.01.28,3
003780,2020.01.02,2020.02.13,7
023600,2020.01.02,2020.02.24,13
110990,2020.01.02,2020.02.12,16
056700,2020.01.02,2020.01.03,-4
038680,2020.01.02,2020.02.17,5
099320,2020.01.02,2020.02.21,30
042500,2020.01.02,2020.01.17,4
178780,2020.01.02,2020.01.31,27
179900,2020.01.02,2020.01.06,4
005670,2020.01.02,2020.01.13,1
054450,2020.01.02,2020.01.10,0
115160,2020.01.02,2020.01.03,-1
222980,2020.01.02,2020.01.03,-9
043200,2020.01.02,2020.01.29,102
163560,2020.01.03,2020.01.06,9
192650,2020.01.03,2020.01.09,3
008700,2020.01.03,2020.02.17,-1
007860,2020.01.03,2020.02.14,51
014530,2020.01.03,2020.01.08,62
001570,2020.01.03,2020.02.12,12
013700,2020.01.03,2020.01.17,38
010600,2020.01.03,2020.01.29,10
006380,2020.01.03,2020.02.11,3
218410,2020.01.03,2020.01.06,-3
033640,2020.01.03,2020.02.25,18
001750,2020.01.03,2020.01.31,13
014570,2020.01.03,2020.01.28,54
014130,2020.01.03,2020.02.24,58
020180,2020.01.03,2020.01.09,4
054670,2020.01.03,2020.01.06,26
003780,2020.01.03,2020.02.13,7
100250,2020.01.03,2020.01.14,0
051630,2020.01.03,2020.02.07,17
036830,2020.01.03,2020.01.17,27
061970,2020.01.03,2020.02.14,12
171010,2020.01.03,2020.01.06,1
082800,2020.01.03,2020.01.06,-2
036010,2020.01.03,2020.02.20,19
042500,2020.01.03,2020.01.17,6
054630,2020.01.03,2020.02.12,4
251370,2020.01.03,2020.02.17,2
051160,2020.01.03,2020.02.24,65
031980,2020.01.03,2020.01.17,16
174880,2020.01.03,2020.02.11,4
024800,2020.01.03,2020.01.06,12
065530,2020.01.03,2020.02.17,21
025880,2020.01.03,2020.01.14,8
